predictions,true
0.41152877,1.0
0.41157117,0.0
0.41135836,1.0
0.4115309,1.0
0.4113447,0.0
0.4113503,1.0
0.411516,0.0
0.41142225,0.0
0.41153702,1.0
0.41135997,0.0
0.41146803,0.0
0.41143027,0.0
0.41146284,0.0
0.4114355,0.0
0.41151935,0.0
0.41146427,1.0
0.41140762,0.0
0.4113341,0.0
0.41143614,0.0
0.41148108,0.0
0.41151142,0.0
0.41157365,1.0
0.41150504,0.0
0.41137904,0.0
0.411527,1.0
0.41158015,1.0
0.41151553,0.0
0.4114901,0.0
0.41136318,1.0
0.41142377,1.0
0.41147915,1.0
0.4114136,0.0
0.41149625,0.0
0.4115289,1.0
0.41150886,0.0
0.4113919,1.0
0.41154903,0.0
0.41138473,0.0
0.41153422,0.0
0.41152066,1.0
