predictions,true
0.568636,0.0
0.66485316,0.0
0.4320907,1.0
0.6115063,0.0
0.53149056,0.0
0.46184626,0.0
0.365812,1.0
0.531812,1.0
0.6057085,0.0
0.20601499,0.0
0.37542126,0.0
0.40742105,1.0
0.28308603,1.0
0.5085945,1.0
0.55919826,0.0
0.599707,0.0
0.22659607,0.0
0.33066034,0.0
0.29776412,0.0
0.7614956,1.0
0.3438988,0.0
0.2538134,1.0
0.35443658,1.0
0.39121702,0.0
0.30157325,0.0
0.61753976,1.0
0.1504663,1.0
0.5228233,0.0
0.5657886,0.0
0.64223325,0.0
0.41737476,0.0
0.60019034,0.0
0.3041101,0.0
0.48914033,1.0
0.20507714,1.0
0.6126209,0.0
0.6398307,0.0
0.30386674,1.0
0.22740617,1.0
0.43570143,0.0
